Ref.;Descripción;Subtotal;IGV;category;precio;categoria padre
1398;Faster de Metal ARTESCO E10 por unidad;0.42;18;Organización y Archivo;0.5;Librería y Oficina
1399;Cerveza GOLDEN Lata 473ml;3.39;18;Con Alcohol;4;Cervezas
1400;Agua SAN LUIS Con Gas Botella 2.5 L;3.39;18;Agua de Mesa;4;Bebidas
1403;Bebida FRUGOS DEL VALLE Fresh Citrus Botella 3L;5.93;18;Otras Bebidas;7;Bebidas
1404;Bebida FRUGOS DEL VALLE Fresh Fruit Punch Botella 3L;5.93;18;Otras Bebidas;7;Bebidas
1409;Galletas OREO Vainilla Paquete 36g;0.85;18;Galletas;1;Dulcería
1410;Galletas CLUB SOCIAL Sabor Original Paquete 24g;0.85;18;Galletas;1;Dulcería
1411;Galleta CLUB SOCIAL Sabor Mantequilla Paquete 24g;0.85;18;Galletas;1;Dulcería
1412;Galletas FIELD Charada Paquete 37.8g;0.85;18;Galletas;1;Dulcería
1414;Pilas DURACELL AA 2un;5.25;18;Pilas y Baterías;6.2;Hogar y Ferretería
1415;Pilas DURACELL AAA 2un;5.25;18;Pilas y Baterías;6.2;Hogar y Ferretería
1416;Café Instantáneo ALTOMAYO Gourmet Doypack 45g;7.54;18;Café e Infusiones;8.9;Desayunos
1417;Goma de Mascar TRIDENT SPLASH Fresa y Limón Paquete 17.1g;2.54;18;Gomas de Mascar;3;Dulcería
1418;Papel Toalla PARACAS Negro 1un;2.2;18;Papel Toalla;2.6;Limpieza
1419;Duraznos en Mitades ACONCAGUA en Almíbar Lata 820g;9.49;18;Conservas;11.2;Abarrotes
1420;Detergente en Polvo CARICIA Rosa Ropa Delicada Bolsa 700g;16.02;18;Detergentes;18.9;Cuidado de Ropa
1421;Jabón en Barra CARICIA 180g;2.97;18;Jabones de Ropa;3.5;Cuidado de Ropa
1424;Papas PRINGLES Sabor Original Lata 124g;8.9;18;Papas;10.5;Snacks
1429;Avena GRANO DE ORO a GRANEL Bolsa 250g;1.27;18;Avenas;1.5;Desayunos
1432;Té Puro TÉ TORO Caja 5g;0.34;18;Café e Infusiones;0.4;Desayunos
1434;Cigarro LUCKY STRIKE Wild Mix Mora Caja 10un;10.59;18;Cigarros;12.5;Tabaco y Vapes
1435;Cigarro LUCKY STRIKE Fresh Twist Sandía Caja 10un;10.59;18;Cigarros;12.5;Tabaco y Vapes
1436;Cigarro LUCKY STRIKE Crush Reshape Naranja Caja 10un;10.59;18;Cigarros;12.5;Tabaco y Vapes
1437;Chocolate TRIANGULO Marmoleado Bolsa 30Gr;2.54;18;Chocolatería;3;Dulcería
1438;Café Instantáneo NESCAFÉ Tradición Doypack 50g;8.73;18;Café e Infusiones;10.3;Desayunos
1439;Café Instantáneo NESCAFÉ Kirma Doypack 45g;6.19;18;Café e Infusiones;7.3;Desayunos
1440;Chocolate con leche COSTA Vizzio Almendras Cubiertas Bitter Caja 69g;4.41;18;Chocolatería;5.2;Dulcería
1441;Galletas SAN JORGE Mini Rondelas Paquete 55g;0.85;18;Galletas;1;Dulcería
1443;Comida para Gato RICOCAT Adultos Paté Pavo e Hígado Lata 330g;5.08;18;Alimento Húmedo para Gatos;6;Mascotas
1444;Comida para Gato RICOCAT Adultos Paté Hígado y Pollo Lata 330g;5.08;18;Alimento Húmedo para Gatos;6;Mascotas
1445;Comida para Perro RICOCAN Adultos Paté Carne Lata 330g;4.58;18;Alimento Húmedo para Perros;5.4;Mascotas
1446;Comida para Perro RICOCAN Adultos Paté Pollo Lata 330g;4.58;18;Alimento Húmedo para Perros;5.4;Mascotas
1447;Comida para Perro RICOCAN Cachorros Paté Babycan Lata 330g;4.58;18;Alimento Húmedo para Perros;5.4;Mascotas
1449;Resaltador FABER-CASTELL Textliner 46 Highlighter por unidad;2.97;18;Escritura y Corrección;3.5;Librería y Oficina
1450;Cerveza PILSEN Callao 12 Pack Botella 630 ml - RETORNABLE;65.08;18;Con Alcohol;76.8;Cervezas
1451;Cerveza PILSEN Callao 24 Pack Botella 305ml - RETORNABLE;69.15;18;Con Alcohol;81.6;Cervezas
1452;Keke BIMBO Bimboletes Chispas Sabor Chocolate Paquete 2un 70g;2.12;18;Kekes;2.5;Panadería y Pastelería
1455;Sopa Instantánea AJINOMEN Sabor a Gallina Vaso 51g;2.71;18;Comida Instantánea;3.2;Abarrotes
1457;Sopa Instantánea AJINOMEN Sabor a Gallina Picante Vaso 51g;2.71;18;Comida Instantánea;3.2;Abarrotes
1458;Sazonador AJI-NO-MOTO Umami Glutamato de Sodio Bolsa 90g;2.12;18;Cremas y Condimentos;2.5;Abarrotes
1459;Sillao AJI-NO-SILLAO Botella 280ml;2.71;18;Cremas y Condimentos;3.2;Abarrotes
1460;Sillao AJI-NO-SILLAO Botella 500ml;3.81;18;Cremas y Condimentos;4.5;Abarrotes
1461;Jabón Natural HENO DE PRAVIA Original Barra 150gr;5.08;18;Jabones en Barra;6;Cuidado Personal
1462;Jabón Natural HENO DE PRAVIA Original Barra 85g;2.8;18;Jabones en Barra;3.3;Cuidado Personal
1463;Chocolatada en Polvo MISKÍSIMOO Sachet 14g;0.85;18;Modificadores de leche;1;Desayunos
1464;Cigarro LUCKY STRIKE Wild Mix Mora Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1465;Cigarro LUCKY STRIKE Double Chill Menta Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1466;Cigarro LUCKY STRIKE Fresh Twist Sandía Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1467;Cigarro LUCKY STRIKE Crush Reshape Naranja Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1468;Cigarro LUCKY STRIKE Big Chill Caja 20un;19.49;18;Cigarros;23;Tabaco y Vapes
1469;Cigarro LUCKY STRIKE Red Caja 20un;16.53;18;Cigarros;19.5;Tabaco y Vapes
1470;Cigarro LUCKY STRIKE Blue Caja 20un;16.53;18;Cigarros;19.5;Tabaco y Vapes
1471;Cereal ANGEL Celeste Copix Bolsa 20g;0.85;18;Cereales;1;Desayunos
1472;Bebida Rehidratante SPORADE Tropical Botella 1L;3.81;18;Rehidratantes;4.5;Bebidas
1473;Gaseosa SABOR DE ORO Botella 400ml;0.85;18;Gaseosas;1;Bebidas
1474;Gaseosa BIG COLA Botella 400ml;0.85;18;Gaseosas;1;Bebidas
1476;Detergente en Polvo BOLIVAR Cuidado Total Bolsa 730g;8.05;18;Detergentes;9.5;Cuidado de Ropa
1477;Suavizante BOLIVAR Aroma Activo Doypack 400ml;3.56;18;Suavizantes;4.2;Cuidado de Ropa
1478;Harina FAVORITA Preparada Bolsa 1Kg;7.63;18;Repostería;9;TIENDA
1480;Goma de Mascar TRIDENT EVUP Menta Paquete 30.6g 18un;3.22;18;Gomas de Mascar;3.8;Dulcería
1481;Goma de Mascar TRIDENT EVUP Sandia Paquete 30.6g 18un;3.22;18;Gomas de Mascar;3.8;Dulcería
1483;Caramelos HALLS Yerbabuena Lyptus Bolsa 3g por unidad;0.21;18;Caramelos;0.25;Dulcería
1484;Bebida Rehidratante GATORADE Tropical Fruit Botella 1L;3.81;18;Rehidratantes;4.5;Bebidas
1485;Tijera ARTESCO La Naranjita 13cm;2.12;18;Manualidades;2.5;Librería y Oficina
1486;Tiza Escolar ARTESCO Colores por Unidad;0.25;18;Escritura y Corrección;0.3;Librería y Oficina
1487;Tiza Escolar ARTESCO Blanco por Unidad;0.25;18;Escritura y Corrección;0.3;Librería y Oficina
1488;Cartulina Escolar Blanca por Unidad;0.42;18;Papelería;0.5;Librería y Oficina
1489;Canela en Polvo GRANEL Bolsa 5g;0.59;18;Cremas y Condimentos;0.7;Abarrotes
1491;Yogurt Griego LAIVE Mango Maracuyá Botella 800gr;8.47;18;Yogurts;10;Lácteos y Huevos
1493;Galletas COSTA Agua Line Paquete 42g;0.85;18;Galletas;1;Dulcería
1499;Detergente en Polvo OPAL Ultra Bolsa 730g;7.2;18;Detergentes;8.5;Cuidado de Ropa
